;Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
86;MEunc;5;Added value through the use of measurement technology;35;singleselect;Vurderer du usikkerheden ved de indsamlede overvågningsdata? (Type A: gentagne målinger, Type B: eksisterende viden, information fra sensoren, fejludbredelse osv.);Vurderer du usikkerheden ved de indsamlede overvågningsdata? (Type A: gentagne målinger, Type B: eksisterende viden, information fra sensoren, fejludbredelse osv.);Nej, jeg tror ikke, det er nødvendigt$Nej, men jeg vil gerne vide mere eller gøre det i fremtiden$Ja, jeg udfører usikkerhedsberegninger for mine data
87;MEunc[comment];5;Added value through the use of measurement technology;35;text;Vurderer du usikkerheden ved de indsamlede overvågningsdata? (Type A: gentagne målinger, Type B: eksisterende viden, information fra sensoren, fejludbredelse osv.) [Kommentar];Vurderer du usikkerheden ved de indsamlede overvågningsdata? (Type A: gentagne målinger, Type B: eksisterende viden, information fra sensoren, fejludbredelse osv.) ;Kommentar
88;IntDrainPlan;6;Collaboration with compliance authority;36;bool;Har I udformet en integreret spidevandsplan på organisationsniveau?;Har I udformet en integreret spidevandsplan på organisationsniveau?;Ja$Nej
89;IDPyear;6;Collaboration with compliance authority;37;number;I hvilket år blev den integrerede spildevandsplan godkendt/vedtaget?;I hvilket år blev den integrerede spildevandsplan godkendt/vedtaget?;
90;IDPrev;6;Collaboration with compliance authority;38;bool;Er den integrerede spildevandsplan under revision som del af spildevand planlægningen?;Er den integrerede spildevandsplan under revision som del af spildevand planlægningen?;Ja$Nej
91;ORGcoopUD;6;Collaboration with compliance authority;39;likert;I hvor høj grad er du enig i dette udsagn:  Vores organisation samarbejder godt med tilsynsmyndighederne?;I hvor høj grad er du enig i dette udsagn:  Vores organisation samarbejder godt med tilsynsmyndighederne?;
92;EMPevent;7;Further education/ Professional competence;40;bool;Har medarbejdere fra din organisation deltaget i en af følgende faglige begivenheder inden for det sidste år?   	Messe (f.eks. IFAT) 	Møde i national forening (Møde for nationale interessegrupper for afløbssystemer, vandområder, spildevand eller kloak) 	National konference om afløbssystemer og spildevand 	Arrangement af tilsynsmyndigheden inden for urban afstrømning og spildevandshåndtering 	Kundearrangement hos et rådgivende ingeniørfirma 	Kundearrangement hos en virksomhed relateret til måleteknologi eller automatisering;Har medarbejdere fra din organisation deltaget i en af følgende faglige begivenheder inden for det sidste år?   	Messe (f.eks. IFAT) 	Møde i national forening (Møde for nationale interessegrupper for afløbssystemer, vandområder, spildevand eller kloak) 	National konference om afløbssystemer og spildevand 	Arrangement af tilsynsmyndigheden inden for urban afstrømning og spildevandshåndtering 	Kundearrangement hos et rådgivende ingeniørfirma 	Kundearrangement hos en virksomhed relateret til måleteknologi eller automatisering;Ja$Nej
93;MEAStp;8;Personal attitude of management;41;singleselect;Har din organisation allerede bestilt en tredjepart (f.eks. el- eller ingeniørrådgiver) til at udføre vedligeholdelsen af ​​måleteknologien (f.eks. regelmæssig rengøring og kalibrering af måleinstrumenter) eller til at evaluere måledata?;Har din organisation allerede bestilt en tredjepart (f.eks. el- eller ingeniørrådgiver) til at udføre vedligeholdelsen af ​​måleteknologien (f.eks. regelmæssig rengøring og kalibrering af måleinstrumenter) eller til at evaluere måledata?;Ja, til vedligeholdelse af måleteknologien$Nej, ingen af disse$Ja, både til vedligeholdelse af måleteknologien og til evaluering af måledata$Ja, til evaluering af måledata
94;woWWTP;8;Personal attitude of management;42;singleselect;Synes du, det giver mening for spildevandsoperatøren at drive både rensningsanlæg og alle afløbssystemer på længere sigt?;Synes du, det giver mening for spildevandsoperatøren at drive både rensningsanlæg og alle afløbssystemer på længere sigt?;Ja, det giver mening at overtage alle regnvandssystemer og regionalt vigtige kloaksystemer$Nej$Ja, det giver mening at overtage alle regnvandsanlæg og hele kloaksystemet på organisationens område$Andet$Ja, det giver mening, alt i byen
95;woWWTP[other];8;Personal attitude of management;42;singleselect_text;Synes du, det giver mening for spildevandsoperatøren at drive både rensningsanlæg og alle afløbssystemer på længere sigt? [Andet];Synes du, det giver mening for spildevandsoperatøren at drive både rensningsanlæg og alle afløbssystemer på længere sigt? ;Andet
