Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
WQproblm2[SQ004];4;CSO data transmission and management;29;multiselect;We have the following problems:  [We are not sure about the accuracy of the measurements];We have the following problems:;We are not sure about the accuracy of the measurements
WQproblm2[other];4;CSO data transmission and management;29;multiselect_text;We have the following problems:  [Other];We have the following problems:;Other
ORGshare[SQ001];4;CSO data transmission and management;30;multiselect;Our organization shares the water level data with third parties …   [No, we do not];Our organization shares the water level data with third parties … ;No, we do not
ORGshare[SQ002];4;CSO data transmission and management;30;multiselect;Our organization shares the water level data with third parties …   [Yes, with an engineering firm to assess data quality];Our organization shares the water level data with third parties … ;Yes, with an engineering firm
ORGshare[SQ003];4;CSO data transmission and management;30;multiselect;Our organization shares the water level data with third parties …   [Yes, to check the accuracy of our simulation models];Our organization shares the water level data with third parties … ;Yes, for our simulation models
ORGshare[SQ004];4;CSO data transmission and management;30;multiselect;Our organization shares the water level data with third parties …   [Yes, with local or regional regulators for compliance assessment];Our organization shares the water level data with third parties … ;Yes, with regulators
ORGshare[other];4;CSO data transmission and management;30;multiselect_text;Our organization shares the water level data with third parties …   [Other];Our organization shares the water level data with third parties … ;Other
MTavail;5;Added value through the use of measurement technology;31;bool;Is measurement technology available in your combined sewer overflows?;Is measurement technology available in your combined sewer overflows?;Yes$No
METex[SQ001];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Making the functioning of the sewage system visible];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Making the functioning of the sewage system visible
METex[SQ002];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Costs and time savings for operating personnel];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Costs and time savings for operating personnel
METex[SQ003];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Preservation of the value of the drainage systems];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Preservation of the value of the drainage systems
METex[SQ004];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Continuous monitoring to detect incidents];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Continuous monitoring to detect incidents
METex[SQ005];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Real-time control of wastewater systems];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Real-time control of wastewater systems
METex[SQ006];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Integrated management of drainage network and Wastewater Treatment Plant (and water bodies)];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Integrated management of drainage network and Wastewater Treatment Plant (and water bodies)
METex[SQ007];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Basis of assessment for future planning];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Basis of assessment for future planning
METex[SQ008];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Prevention of bad investments];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Prevention of bad investments
METex[SQ009];5;Added value through the use of measurement technology;32;3multiselect;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Performance monitoring and performance review];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Performance monitoring and performance review
METex[other];5;Added value through the use of measurement technology;32;3multiselect_text;The following examples describe how operators can benefit from the use of measurement technology at urban drainage systems. What are the 3 reasons that would motivate you most to use metrology? [Other];What are the reasons that would motivate you most to use measurement technology at urban drainage systems?;Other
METobst[SQ001];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [Financial reasons];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;Financial reasons
METobst[SQ002];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [Technical difficulties in equipping with measurement technology];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;Technical difficulties in equipping with measurement technology
METobst[SQ003];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [Technical difficulties in handling the measurement data];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;Technical difficulties in handling the measurement data
METobst[SQ004];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [Lack of standardized procedures];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;Lack of standardized procedures
METobst[SQ005];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [No cantonal support for the procedure];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;No cantonal support for the procedure
METobst[SQ006];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [No legal requirements];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;No legal requirements
METobst[SQ007];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [Metrology is not relevant or necessary for us];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;Metrology is not relevant or necessary for us
METobst[SQ008];5;Added value through the use of measurement technology;33;3multiselect;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [We don't know much about metrology];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;We don't know much about metrology
METobst[other];5;Added value through the use of measurement technology;33;3multiselect_text;Where do you see the 3 biggest obstacles to the use of measurement technology for your wastewater association?  [Other];Where do you see the biggest obstacles to the use of measurement technology for your wastewater association? ;Other
MEASplants[SQ001];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Making the functioning of the sewage system visible];Why did your wastewater association decide to use measurement technology on the plants?;Making the functioning of the sewage system visible
MEASplants[SQ002];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Costs and time savings for operating personnel];Why did your wastewater association decide to use measurement technology on the plants?;Costs and time savings for operating personnel
MEASplants[SQ003];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Preservation of the value of rainwater systems];Why did your wastewater association decide to use measurement technology on the plants?;Preservation of the value of rainwater systems
MEASplants[SQ004];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Continuous monitoring to detect incidents];Why did your wastewater association decide to use measurement technology on the plants?;Continuous monitoring to detect incidents
MEASplants[SQ005];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Dynamic discharge control of wastewater plants];Why did your wastewater association decide to use measurement technology on the plants?;Dynamic discharge control of wastewater plants
MEASplants[SQ006];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Integrated sewer network management of drainage network and WWTP (and water bodies)];Why did your wastewater association decide to use measurement technology on the plants?;Integrated sewer network management
MEASplants[SQ007];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Basis of assessment for future planning];Why did your wastewater association decide to use measurement technology on the plants?;Basis of assessment for future planning
MEASplants[SQ008];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Prevention of bad investments];Why did your wastewater association decide to use measurement technology on the plants?;Prevention of bad investments
MEASplants[SQ009];5;Added value through the use of measurement technology;34;3multiselect;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Performance monitoring and performance review];Why did your wastewater association decide to use measurement technology on the plants?;Performance monitoring and performance review
MEASplants[other];5;Added value through the use of measurement technology;34;3multiselect_text;Why did your wastewater association decide to use measurement technology on the plants? Please select a maximum of 3 main reasons. [Other];Why did your wastewater association decide to use measurement technology on the plants?;Other
MEunc;5;Added value through the use of measurement technology;35;singleselect;Do you assess the uncertainty of the collected monitoring data? (Type A: repeated measured values, Type B: scientific judgement, information from sensor manufacturer, Error propagation, etc);Do you assess the uncertainty of the collected monitoring data? (Type A: repeated measured values, Type B: scientific judgement, information from sensor manufacturer, Error propagation, etc);No, I don't think this is needed$No, but I would like to know more or to do this in future$Yes, I do uncertainty calculations on my data
MEunc[comment];5;Added value through the use of measurement technology;35;text;Do you assess the uncertainty of the collected monitoring data? (Type A: repeated measured values, Type B: scientific judgement, information from sensor manufacturer, Error propagation, etc);Do you assess the uncertainty of the collected monitoring data? (Type A: repeated measured values, Type B: scientific judgement, information from sensor manufacturer, Error propagation, etc) [Comment];Comment
IntDrainPlan;6;Collaboration with compliance authority;36;bool;Have you completed an integrated drainage plan at the level of your wastewater association? ;Have you completed an integrated drainage plan at the level of your wastewater association? ;Yes$No
IDPyear;6;Collaboration with compliance authority;37;number;In what year was this IDP approved?;In what year was this IDP approved?;
IDPrev;6;Collaboration with compliance authority;38;bool;Is this IDP currently being revised as part of the drainage planning? ;Is this IDP currently being revised as part of the drainage planning? ;Yes$No
ORGcoopUD;6;Collaboration with compliance authority;39;likert;How far do you agree with this statement:   Our organization cooperates well with regulatory authorities for urban drainage;How far do you agree with this statement:   Our organization cooperates well with regulatory authorities for urban drainage;
EMPevent;7;Further education/ Professional competence;40;bool;"Have employees of your wastewater association participated in one of the following professional events within the past year?   	Trade fair (IFAT)  	National association meeting (e.g. working group meeting)  	National urban drainage conference (CIWEM, Aqua Urbanica, GRAIE, AEOPAS, ...) 	Event of the regulatory office in the field of urban drainage  	Customer event of engineering consultancy  	Customer event of a company related to measurement technology or automation ";"Have employees of your wastewater association participated in one of the following professional events within the past year?   	Trade fair (IFAT)  	National association meeting (e.g. working group meeting)  	National urban drainage conference (CIWEM, Aqua Urbanica, GRAIE, AEOPAS, ...) 	Event of the regulatory office in the field of urban drainage  	Customer event of engineering consultancy  	Customer event of a company related to measurement technology or automation ";Yes$No
MEAStp;8;Personal attitude of management;41;singleselect;Has your wastewater association already commissioned a third party (e.g. electrical or engineering consultant) to carry out the maintenance of the measurement technology (e.g. regular cleaning and calibration of measuring instruments) or to evaluate measurement data?;Has your wastewater association already commissioned a third party (e.g. electrical or engineering consultant) to carry out the maintenance of the measurement technology (e.g. regular cleaning and calibration of measuring instruments) or to evaluate measurement data?;No, neither of those$Yes, for the maintenance of the measurement technology$Yes, for the evaluation of the measurement data$Yes, both for the maintenance of the measurement technology and for the evaluation of the measurement data
woWWTP;8;Personal attitude of management;42;singleselect;Do you think it makes sense for the wastewater operator to operate both the WWTP and all urban drainage systems in the long term?;Do you think it makes sense for the wastewater operator to operate both the WWTP and all urban drainage systems in the long term?;No$Yes, it makes sense to acquire all urban drainage assets$Yes, it makes sense to take over all rainwater systems and the entire sewerage system in the association's territory$Yes, it makes sense to take over all stormwater systems and the regionally important sewerage system$Other
woWWTP[other];8;Personal attitude of management;42;singleselect_text;Do you think it makes sense for the wastewater operator to operate both the WWTP and all urban drainage systems in the long term? [Other];Do you think it makes sense for the wastewater operator to operate both the WWTP and all urban drainage systems in the long term?;Other
SSvision;8;Personal attitude of management;43;singleselect;"A possible vision of the future:  ""Stormwater systems and sewer networks are equipped with a large number of measuring devices. The measurement signals are transmitted live to a control system via a nationwide wireless network, automatically checked, evaluated and archived. This permanent monitoring of the systems is made possible by the advancing technological development in the areas of communication, control and automation technology.""  What do you personally think of the vision described?";"Vision 1: ""Real-Time Monitoring and Evaluation of Stormwater and Sewer Systems""";Yes$No$Yes, if...
SSvision[comment];8;Personal attitude of management;43;text;"A possible vision of the future:  ""Stormwater systems and sewer networks are equipped with a large number of measuring devices. The measurement signals are transmitted live to a control system via a nationwide wireless network, automatically checked, evaluated and archived. This permanent monitoring of the systems is made possible by the advancing technological development in the areas of communication, control and automation technology.""  What do you personally think of the vision described? [Comment]";"A possible vision of the future:  ""Stormwater systems and sewer networks are equipped with a large number of measuring devices. The measurement signals are transmitted live to a control system via a nationwide wireless network, automatically checked, evaluated and archived. This permanent monitoring of the systems is made possible by the advancing technological development in the areas of communication, control and automation technology.""  What do you personally think of the vision described?";Comment
CSOpublic;8;Personal attitude of management;44;singleselect;"Another possible vision of the future:   ""In the future, monitoring data from CSOs are made publicly available on a transparent and easily accessible platform that empowers communities and stakeholders with real-time information about sewer systems and their impact on the environment. By openly sharing data on sewer infrastructure, performance, and maintenance, we aim to foster collaboration, innovation, and informed decision-making, ultimately enhancing the efficiency, sustainability, and resilience of our wastewater management practices.""  What do you personally think of the vision described?";"Vision 2: ""Publicly Accessible CSO Data for Enhanced Collaboration and Sustainability""";Yes$No$Yes, if...
CSOpublic[comment];8;Personal attitude of management;44;text;"Another possible vision of the future:   ""In the future, monitoring data from CSOs are made publicly available on a transparent and easily accessible platform that empowers communities and stakeholders with real-time information about sewer systems and their impact on the environment. By openly sharing data on sewer infrastructure, performance, and maintenance, we aim to foster collaboration, innovation, and informed decision-making, ultimately enhancing the efficiency, sustainability, and resilience of our wastewater management practices.""  What do you personally think of the vision described? [Comment]";"Another possible vision of the future:   ""In the future, monitoring data from CSOs are made publicly available on a transparent and easily accessible platform that empowers communities and stakeholders with real-time information about sewer systems and their impact on the environment. By openly sharing data on sewer infrastructure, performance, and maintenance, we aim to foster collaboration, innovation, and informed decision-making, ultimately enhancing the efficiency, sustainability, and resilience of our wastewater management practices.""  What do you personally think of the vision described?";Comment
CSOlaw;9;Legal framework and guidelines;45;bool;Is the legal basis available for performance monitoring of CSOs (law?) ;Is the legal basis available for performance monitoring of CSOs (law?) ;Yes$No
impREG;9;Legal framework and guidelines;46;bool;Is a legally binding implementing ordinance/ regulation available?;Is a legally binding implementing ordinance/ regulation available?;Yes$No
TSguide;9;Legal framework and guidelines;47;bool;Are there technical standards and guidelines available?;Are there technical standards and guidelines available?;Yes$No
REGapply;9;Legal framework and guidelines;48;bool;Are the existing regulations applied by the operator?;Are the existing regulations applied by the operator?;Yes$No
REGenf;9;Legal framework and guidelines;49;bool;Are the existing regulations are enforced by all actors?;Are the existing regulations are enforced by all actors?;Yes$No
CSOreg[SQ001];9;Legal framework and guidelines;50;multiselect;How are existing CSO structures regulated? [Pass forward flow to WWTW];How are existing CSO structures regulated?;Pass forward flow to WWTW
CSOreg[SQ002];9;Legal framework and guidelines;50;multiselect;How are existing CSO structures regulated? [Spill frequency];How are existing CSO structures regulated?;Spill frequency
CSOreg[SQ003];9;Legal framework and guidelines;50;multiselect;How are existing CSO structures regulated? [Spill volume];How are existing CSO structures regulated?;Spill volume
CSOreg[SQ004];9;Legal framework and guidelines;50;multiselect;How are existing CSO structures regulated? [Water impacts];How are existing CSO structures regulated?;Water impacts
CSOreg[other];9;Legal framework and guidelines;50;multiselect_text;How are existing CSO structures regulated? [Other];How are existing CSO structures regulated?;Other
CSOmonit[1];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 1];What do you think could help to promote monitoring of CSOs?;Rank 1
CSOmonit[2];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 2];What do you think could help to promote monitoring of CSOs?;Rank 2
CSOmonit[3];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 3];What do you think could help to promote monitoring of CSOs?;Rank 3
CSOmonit[4];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 4];What do you think could help to promote monitoring of CSOs?;Rank 4
CSOmonit[5];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 5];What do you think could help to promote monitoring of CSOs?;Rank 5
CSOmonit[6];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 6];What do you think could help to promote monitoring of CSOs?;Rank 6
CSOmonit[7];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 7];What do you think could help to promote monitoring of CSOs?;Rank 7
CSOmonit[8];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 8];What do you think could help to promote monitoring of CSOs?;Rank 8
CSOmonit[9];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 9];What do you think could help to promote monitoring of CSOs?;Rank 9
CSOmonit[10];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 10];What do you think could help to promote monitoring of CSOs?;Rank 10
CSOmonit[11];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 11];What do you think could help to promote monitoring of CSOs?;Rank 11
CSOmonit[12];10;Future improvements;51;rank_text;What do you think could help to promote monitoring of CSOs?   Please select 3 of the listed suggestions and assign them according to your priorities (1st, 2nd and 3rd priority). You also have the opportunity to make your own proposal.  [Rank 12];What do you think could help to promote monitoring of CSOs?;Rank 12
CSOownprop;10;Future improvements;52;text;Write your proposal for the question:  What do you think could help to promote monitoring of CSOs?;Write your proposal for the question:  What do you think could help to promote monitoring of CSOs?;
UDfeed;10;Future improvements;53;text;"Do you have any further comments or ideas on the topic of ""Water protection during wet weather - organization of urban drainage"" or on our questionnaire? ";"Do you have any further comments or ideas on the topic of ""Water protection during wet weather - organization of urban drainage"" or on our questionnaire? ";
